shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SUKHUMVIT_MAIN,13.800761, 100.552712,279
SUKHUMVIT_MAIN,13.800188, 100.552376,280
SUKHUMVIT_MAIN,13.799597, 100.552030,281
SUKHUMVIT_MAIN,13.799164, 100.551784,282
SUKHUMVIT_MAIN,13.798909, 100.551639,283
SUKHUMVIT_MAIN,13.798810, 100.551585,284
SUKHUMVIT_MAIN,13.798419, 100.551403,285
SUKHUMVIT_MAIN,13.798235, 100.551317,286
SUKHUMVIT_MAIN,13.797750, 100.551129,287
SUKHUMVIT_MAIN,13.797057, 100.550874,288
SUKHUMVIT_MAIN,13.796138, 100.550545,289
SUKHUMVIT_MAIN,13.795343, 100.550252,290
SUKHUMVIT_MAIN,13.794366, 100.549903,291
SUKHUMVIT_MAIN,13.794085, 100.549802,292
SUKHUMVIT_MAIN,13.793793, 100.549701,293
SUKHUMVIT_MAIN,13.793358, 100.549541,294
SUKHUMVIT_MAIN,13.793090, 100.549442,295
SUKHUMVIT_MAIN,13.792485, 100.549225,296
SUKHUMVIT_MAIN,13.791712, 100.548943,297
SUKHUMVIT_MAIN,13.790724, 100.548589,298
SUKHUMVIT_MAIN,13.789776, 100.548248,299
SUKHUMVIT_MAIN,13.788974, 100.547956,300
SUKHUMVIT_MAIN,13.788057, 100.547626,301
SUKHUMVIT_MAIN,13.787161, 100.547307,302
SUKHUMVIT_MAIN,13.786100, 100.546923,303
SUKHUMVIT_MAIN,13.785137, 100.546575,304
SUKHUMVIT_MAIN,13.784256, 100.546261,305
SUKHUMVIT_MAIN,13.783371, 100.545942,306
SUKHUMVIT_MAIN,13.782508, 100.545631,307
SUKHUMVIT_MAIN,13.781657, 100.545325,308
SUKHUMVIT_MAIN,13.780891, 100.545051,309
SUKHUMVIT_MAIN,13.780234, 100.544810,310
SUKHUMVIT_MAIN,13.779677, 100.544609,311
SUKHUMVIT_MAIN,13.779226, 100.544445,312
SUKHUMVIT_MAIN,13.778969, 100.544349,313
SUKHUMVIT_MAIN,13.778500, 100.544185,314
SUKHUMVIT_MAIN,13.777892, 100.543968,315
SUKHUMVIT_MAIN,13.777278, 100.543753,316
SUKHUMVIT_MAIN,13.776671, 100.543531,317
SUKHUMVIT_MAIN,13.775959, 100.543268,318
SUKHUMVIT_MAIN,13.775298, 100.543029,319
SUKHUMVIT_MAIN,13.774362, 100.542702,320
SUKHUMVIT_MAIN,13.773571, 100.542415,321
SUKHUMVIT_MAIN,13.772919, 100.542184,322
SUKHUMVIT_MAIN,13.772302, 100.541953,323
SUKHUMVIT_MAIN,13.772016, 100.541852,324
SUKHUMVIT_MAIN,13.771075, 100.541511,325
SUKHUMVIT_MAIN,13.770405, 100.541272,326
SUKHUMVIT_MAIN,13.770302, 100.541229,327
SUKHUMVIT_MAIN,13.770062, 100.541119,328
SUKHUMVIT_MAIN,13.769835, 100.540996,329
SUKHUMVIT_MAIN,13.769272, 100.540687,330
SUKHUMVIT_MAIN,13.768217, 100.540100,331
SUKHUMVIT_MAIN,13.767180, 100.539526,332
SUKHUMVIT_MAIN,13.766365, 100.539081,333
SUKHUMVIT_MAIN,13.766198, 100.538998,334
SUKHUMVIT_MAIN,13.766076, 100.538955,335
SUKHUMVIT_MAIN,13.765948, 100.538941,336
SUKHUMVIT_MAIN,13.765865, 100.538936,337
SUKHUMVIT_MAIN,13.765771, 100.538941,338
SUKHUMVIT_MAIN,13.765664, 100.538958,339
SUKHUMVIT_MAIN,13.765479, 100.539011,340
SUKHUMVIT_MAIN,13.765146, 100.539105,341
SUKHUMVIT_MAIN,13.765039, 100.539124,342
SUKHUMVIT_MAIN,13.764925, 100.539126,343
SUKHUMVIT_MAIN,13.764813, 100.539110,344
SUKHUMVIT_MAIN,13.764687, 100.539084,345
SUKHUMVIT_MAIN,13.764581, 100.539035,346
SUKHUMVIT_MAIN,13.764482, 100.538979,347
SUKHUMVIT_MAIN,13.764383, 100.538906,348
SUKHUMVIT_MAIN,13.764291, 100.538807,349
SUKHUMVIT_MAIN,13.764208, 100.538689,350
SUKHUMVIT_MAIN,13.764140, 100.538539,351
SUKHUMVIT_MAIN,13.764088, 100.538367,352
SUKHUMVIT_MAIN,13.764028, 100.538118,353
SUKHUMVIT_MAIN,13.763987, 100.537992,354
SUKHUMVIT_MAIN,13.763927, 100.537863,355
SUKHUMVIT_MAIN,13.763859, 100.537767,356
SUKHUMVIT_MAIN,13.763786, 100.537678,357
SUKHUMVIT_MAIN,13.763708, 100.537608,358
SUKHUMVIT_MAIN,13.763619, 100.537541,359
SUKHUMVIT_MAIN,13.763515, 100.537477,360
SUKHUMVIT_MAIN,13.762884, 100.537123,361
SUKHUMVIT_MAIN,13.762139, 100.536707,362
SUKHUMVIT_MAIN,13.761274, 100.536227,363
SUKHUMVIT_MAIN,13.760261, 100.535666,364
SUKHUMVIT_MAIN,13.758893, 100.534907,365
SUKHUMVIT_MAIN,13.757036, 100.533865,366
SUKHUMVIT_MAIN,13.756937, 100.533806,367
SUKHUMVIT_MAIN,13.756087, 100.533338,368
SUKHUMVIT_MAIN,13.755459, 100.532979,369
SUKHUMVIT_MAIN,13.754381, 100.532386,370
SUKHUMVIT_MAIN,13.753662, 100.531981,371
SUKHUMVIT_MAIN,13.753441, 100.531866,372
SUKHUMVIT_MAIN,13.753263, 100.531793,373
SUKHUMVIT_MAIN,13.753107, 100.531745,374
SUKHUMVIT_MAIN,13.752959, 100.531710,375
SUKHUMVIT_MAIN,13.752878, 100.531694,376
SUKHUMVIT_MAIN,13.751903, 100.531560,377
SUKHUMVIT_MAIN,13.751734, 100.531533,378
SUKHUMVIT_MAIN,13.751004, 100.531431,379
SUKHUMVIT_MAIN,13.750825, 100.531391,380
SUKHUMVIT_MAIN,13.750676, 100.531351,381
SUKHUMVIT_MAIN,13.750351, 100.531251,382
SUKHUMVIT_MAIN,13.750239, 100.531219,383
SUKHUMVIT_MAIN,13.750127, 100.531198,384
SUKHUMVIT_MAIN,13.748493, 100.530959,385
SUKHUMVIT_MAIN,13.747977, 100.530887,386
SUKHUMVIT_MAIN,13.747154, 100.530779,387
SUKHUMVIT_MAIN,13.747047, 100.530771,388
SUKHUMVIT_MAIN,13.746935, 100.530771,389
SUKHUMVIT_MAIN,13.746810, 100.530785,390
SUKHUMVIT_MAIN,13.746711, 100.530812,391
SUKHUMVIT_MAIN,13.746594, 100.530857,392
SUKHUMVIT_MAIN,13.746484, 100.530935,393
SUKHUMVIT_MAIN,13.746424, 100.530986,394
SUKHUMVIT_MAIN,13.746352, 100.531056,395
SUKHUMVIT_MAIN,13.746258, 100.531171,396
SUKHUMVIT_MAIN,13.746146, 100.531426,397
SUKHUMVIT_MAIN,13.746128, 100.531474,398
SUKHUMVIT_MAIN,13.746099, 100.531654,399
SUKHUMVIT_MAIN,13.746034, 100.532040,400
SUKHUMVIT_MAIN,13.745982, 100.532335,401
SUKHUMVIT_MAIN,13.745924, 100.532652,402
SUKHUMVIT_MAIN,13.745911, 100.532724,403
SUKHUMVIT_MAIN,13.745885, 100.533009,404
SUKHUMVIT_MAIN,13.745849, 100.533306,405
SUKHUMVIT_MAIN,13.745799, 100.533583,406
SUKHUMVIT_MAIN,13.745687, 100.534235,407
SUKHUMVIT_MAIN,13.745548, 100.535013,408
SUKHUMVIT_MAIN,13.745500, 100.535334,409
SUKHUMVIT_MAIN,13.745359, 100.535817,410
SUKHUMVIT_MAIN,13.745322, 100.535986,411
SUKHUMVIT_MAIN,13.745291, 100.536128,412
SUKHUMVIT_MAIN,13.745266, 100.536257,413
SUKHUMVIT_MAIN,13.745197, 100.536678,414
SUKHUMVIT_MAIN,13.745127, 100.537058,415
SUKHUMVIT_MAIN,13.745033, 100.537565,416
SUKHUMVIT_MAIN,13.744950, 100.538043,417
SUKHUMVIT_MAIN,13.744887, 100.538400,418
SUKHUMVIT_MAIN,13.744846, 100.538641,419
SUKHUMVIT_MAIN,13.744825, 100.538869,420
SUKHUMVIT_MAIN,13.744812, 100.539140,421
SUKHUMVIT_MAIN,13.744801, 100.539253,422
SUKHUMVIT_MAIN,13.744757, 100.539663,423
SUKHUMVIT_MAIN,13.744700, 100.539982,424
