stop_id,stop_name,stop_name_th,stop_lat,stop_lon,stop_code,stop_desc,zone_id
SRT_1067,,บ้านตาคลี,,,1067,SNNE Station,
SRT_1069,,ดงมะกุ,,,1069,SNNE Station,
SRT_1070,,หัวหวาย,,,1070,SNNE Station,
SRT_1072,,หนองโพ,,,1072,SNNE Station,
SRT_1074,,หัวงิ้ว,,,1074,SNNE Station,
SRT_1076,,เนินมะกอก,,,1076,SNNE Station,
SRT_1079,,เขาทอง,,,1079,SNNE Station,
SRT_1082,,นครสวรรค์,,,1082,SNNE Station,
SRT_1083,,ปากน้ำโพ,,,1083,SNNE Station,
SRT_1226,,บึงบอระเพ็ด,,,1226,SNNE Station,
SRT_1084,,ทับกฤช,,,1084,SNNE Station,
SRT_1086,,คลองปลากด,,,1086,SNNE Station,
SRT_1088,,ชุมแสง,,,1088,SNNE Station,
SRT_1091,,วังกร่าง,,,1091,SNNE Station,
SRT_1093,,บางมูลนาก,,,1093,SNNE Station,
SRT_1095,,หอไกร,,,1095,SNNE Station,
SRT_1097,,ดงตะขบ,,,1097,SNNE Station,
SRT_1099,,ตะพานหิน,,,1099,SNNE Station,
SRT_1101,,ห้วยเกตุ,,,1101,SNNE Station,
SRT_1103,,หัวดง,,,1103,SNNE Station,
SRT_1105,,วังกรด,,,1105,SNNE Station,
SRT_1107,,พิจิตร,,,1107,SNNE Station,
SRT_1109,,ท่าฬ่อ,,,1109,SNNE Station,
SRT_1111,,บางกระทุ่ม,,,1111,SNNE Station,
SRT_1112,,แม่เทียบ,,,1112,SNNE Station,
SRT_1114,,บ้านใหม่,,,1114,SNNE Station,
SRT_1116,,บึงพระ,,,1116,SNNE Station,
SRT_1118,,พิษณุโลก,,,1118,SNNE Station,
SRT_1119,,บ้านเต็งหนาม,,,1119,SNNE Station,
